"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW",""
"Baden-Württemberg","947 
2.843 
5.472 
49 
8.059 
72,6 
315.572"
"Bayern","435.224 
1.420 
3.316 
7.921 
60 
12.363 
94,2"
"Berlin","128.936 
702 
3.514 
2.267 
62 
2.813 
76,7"
"Brandenburg","76.224 
242 
3.022 
1.591 
63 
2.992 
118,6"
"Bremen","17.894 
104 
2.627 
538 
79 
337 
49,5"
"Hamburg","51.450 
188 
2.785 
1.284 
70 
1.263 
68,4"
"Hessen","187.791 
780 
2.986 
4.017 
64 
5.815 
92,5"
"Mecklenburg-
Vorpommern","24.313 
183 
1.512 
984 
61 
736 
45,8"
"Niedersachsen","163.594 
926 
2.047 
5.200 
65 
4.287 
53,6"
"Nordrhein-
Westfalen","530.703 
2.013 
2.957 
11.630 
65 
13.028 
72,6"
"Rheinland-Pfalz","101.823 
388 
2.487 
2.207 
54 
3.089 
75,5"
"Saarland","28.797 
131 
2.918 
677 
69 
866 
87,8"
"Sachsen","193.707 
602 
4.757 
3.177 
78 
7.707 
189,3"
"Sachsen-Anhalt","60.236 
373 
2.745 
1.947 
89 
2.406 
109,6"
"Schleswig-Holstein","42.235 
246 
1.454 
1.459 
50 
1.280 
44,1"
"Thüringen","75.947 
517 
3.560 
2.677 
125 
2.847 
133,5"
"Gesamt","2.434.446 
9.762 
2.927 
53.048 
64 
69.888 
84,0"
