"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","370.273","2.598","3.336","14.556","131","8.737","78,7"
"Bayern","506.786","2.889","3.861","18.005","137","13.302","101,4"
"Berlin","147.947","484","4.032","4.288","117","3.080","83,9"
"Brandenburg","89.709","515","3.557","3.655","145","3.313","131,4"
"Bremen","21.268","139","3.122","819","120","406","59,6"
"Hamburg","62.281","483","3.372","2.555","138","1.397","75,6"
"Hessen","223.165","1.685","3.549","9.057","144","6.365","101,2"
"Mecklenburg-
Vorpommern","31.263","307","1.944","1.445","90","872","54,2"
"Niedersachsen","201.023","1.256","2.515","8.156","102","4.898","61,3"
"Nordrhein-Westfalen","621.574","3.957","3.463","22.968","128","14.296","79,7"
"Rheinland-Pfalz","118.270","594","2.889","4.395","107","3.337","81,5"
"Saarland","32.222","187","3.265","885","90","927","93,9"
"Sachsen","225.140","1.281","5.529","7.568","186","8.425","206,9"
"Sachsen-Anhalt","74.565","666","3.397","3.590","164","2.727","124,2"
"Schleswig-Holstein","50.694","340","1.746","2.106","73","1.439","49,6"
"Thüringen","97.010","748","4.547","5.229","245","3.374","158,2"
"Gesamt","2.873.190","18.129","3.455","109.277","131","76.895","92,5"
