"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","501.961","220","4.522","791","7,1","10.323","93"
"Bayern","649.333","288","4.947","1.080","8,2","15.298","117"
"Berlin","180.739","99","4.925","337","9,2","3.565","97"
"Brandenburg","108.871","42","4.317","122","4,8","3.813","151"
"Bremen","27.576","25","4.048","78","11,5","488","72"
"Hamburg","77.724","35","4.208","181","9,8","1.602","87"
"Hessen","291.984","156","4.643","617","9,8","7.561","120"
"Mecklenburg-
Vorpommern","44.206","19","2.749","42","2,6","1.164","72"
"Niedersachsen","261.843","123","3.276","490","6,1","5.799","73"
"Nordrhein-Westfalen","818.646","311","4.561","1.464","8,2","17.226","96"
"Rheinland-Pfalz","155.757","99","3.805","313","7,6","3.894","95"
"Saarland","41.632","4","4.219","64","6,5","1.030","104"
"Sachsen","286.085","45","7.026","109","2,7","10.107","248"
"Sachsen-Anhalt","99.302","15","4.524","33","1,5","3.433","156"
"Schleswig-Holstein","64.137","43","2.209","144","5,0","1.627","56"
"Thüringen","128.887","24","6.041","61","2,9","4.357","204"
"Gesamt","3.738.683","1.548","4.495","5.926","7,1","91.287","110"
