"0","1","2","3"
"7-day 
Total 
Number 
Cases in 
Number of 
Cases/ 
incidence 
Number 
Federal State 
number 
of new 
the last 
deaths/ 
100,000 pop. 
per 100,000 
of deaths 
of cases 
cases 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","38,422 
152 
347","598 
5.4","1,859 
16.8"
"Bavaria","52,847 
202 
404","986 
7.5","2,631 
20.1"
"Berlin","10,196 
220 
272","500 
13.3","224 
6.0"
"Brandenburg","3,695 
12 
147","54 
2.1","169 
6.7"
"Bremen","1,835 
7 
269","35 
5.1","56 
8.2"
"Hamburg","5,850 
29 
318","172 
9.3","264 
14.3"
"Hesse","13,390 
203 
214","732 
11.7","526 
8.4"
"Mecklenburg-Western  
Pomerania","970 
11 
60","33 
2.1","20 
1.2"
"Lower Saxony","15,343 
25 
192","381 
4.8","656 
8.2"
"North Rhine-
Westphalia","54,106 
445 
302","2,659 
14.8","1,777 
9.9"
"Rhineland-Palatinate","8,095 
36 
198","320 
7.8","242 
5.9"
"Saarland","2,986 
10 
301","60 
6.1","174 
17.6"
"Saxony","5,719 
14 
140","75 
1.8","225 
5.5"
"Saxony-Anhalt","2,114 
15 
96","55 
2.5","64 
2.9"
"Schleswig-Holstein","3,768 
24 
130","187 
6.5","158 
5.5"
"Thuringia","3,492 
10 
163","67 
3.1","186 
8.7"
"Total 
222,828 
1,415 
268 
6,914 
8.3 
9,231 
11.1","","",""
