"0","1","2","3"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-Württemberg","41.773 
199 
377","1.571 
14,2","1.866 
16,9"
"Bayern","57.059 
87 
436","1.889 
14,4","2.638 
20,2"
"Berlin","11.183 
58 
298","445 
11,9","226 
6,0"
"Brandenburg","3.869 
2 
154","60 
2,4","169 
6,7"
"Bremen","1.992 
12 
292","93 
13,6","56 
8,2"
"Hamburg","6.227 
34 
338","149 
8,1","266 
14,4"
"Hessen","15.399 
48 
246","754 
12,0","531 
8,5"
"Mecklenburg-
Vorpommern","1.007 
3 
63","14 
0,9","20 
1,2"
"Niedersachsen","16.690 
62 
209","515 
6,5","661 
8,3"
"Nordrhein-Westfalen","58.584 
132 
327","1.648 
9,2","1.809 
10,1"
"Rheinland-Pfalz","9.008 
80 
221","343 
8,4","243 
5,9"
"Saarland","3.153 
27 
318","73 
7,4","174 
17,6"
"Sachsen","5.949 
15 
146","119 
2,9","225 
5,5"
"Sachsen-Anhalt","2.232 
6 
101","47 
2,1","65 
2,9"
"Schleswig-Holstein","4.022 
7 
139","116 
4,0","160 
5,5"
"Thüringen","3.624 
13 
169","69 
3,2","186 
8,7"
"Gesamt","241.771 
785 
291","7.905 
9,5","9.295 
11,2"
