"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW",""
"Baden-Württemberg","322.232 
1.070 
2.903 
6.363 
57 
8.251 
74,3"
"Bayern","444.971 
1.790 
3.390 
9.397 
72 
12.622 
96,2"
"Berlin","131.546 
415 
3.585 
2.352 
64 
2.888 
78,7"
"Brandenburg","77.881 
249 
3.088 
1.592 
63 
3.085 
122,3"
"Bremen","18.403 
69 
2.702 
479 
70 
364 
53,4"
"Hamburg","52.945 
223 
2.866 
1.295 
70 
1.306 
70,7"
"Hessen","192.184 
733 
3.056 
4.246 
68 
5.930 
94,3"
"Mecklenburg-
Vorpommern","25.489 
194 
1.585 
1.081 
67 
773 
48,1"
"Niedersachsen","168.806 
919 
2.112 
4.592 
57 
4.437 
55,5"
"Nordrhein-
Westfalen","542.403 
1.982 
3.022 
11.591 
65 
13.363 
74,5"
"Rheinland-Pfalz","103.873 
350 
2.537 
1.948 
48 
3.160 
77,2"
"Saarland","29.415 
75 
2.981 
550 
56 
890 
90,2"
"Sachsen","197.358 
507 
4.847 
3.171 
78 
7.983 
196,0"
"Sachsen-Anhalt","62.256 
326 
2.837 
1.883 
86 
2.486 
113,3"
"Schleswig-Holstein","43.528 
191 
1.499 
1.291 
44 
1.324 
45,6"
"Thüringen","78.789 
464 
3.693 
2.737 
128 
2.942 
137,9"
"Gesamt","2.492.079 
9.557 
2.996 
54.568 
66 
71.804 
86,3"
