"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40 - 48,  
week 49  
2020 
2020 
2020 
2020"
"0 to 14 years","SARI cases (total)","322 
869 
346 
44"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.2% 
4.5%"
"15 to 34 years","SARI cases (total)","178 
189 
209 
27"
"","Proportion of COVID-19 (%)","19% 
13% 
49% 
78%"
"35 to 59 years","SARI cases (total)","534 
511 
708 
94"
"","Proportion of COVID-19 (%)","31% 
13% 
62% 
70%"
"60 years and older","SARI cases (total)","1,690 
2,075 
1,839 
279"
"","Proportion of COVID-19 (%)","19% 
2.5% 
43% 
63%"
"Overall","SARI cases (total)","2,724 
3,644 
3,102 
444"
"","Proportion of COVID-19 (%)","19% 
4.0% 
44% 
60%"
