"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40, 2020  
week 2,  
2020 
2020 
- 1,  2020 
2021"
"0 to 14 years","SARI cases (total)","322 
869 
498 
13"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.2% 
0,0%"
"15 to 34 years","SARI cases (total)","178 
189 
335 
9"
"","Proportion of COVID-19 (%)","19% 
13% 
57% 
56%"
"35 to 59 years","SARI cases (total)","533 
511 
1,264 
85"
"","Proportion of COVID-19 (%)","31% 
13% 
67% 
81%"
"60 years and older","SARI cases (total)","1,690 
2,074 
3,850 
296"
"","Proportion of COVID-19 (%)","19% 
2.5% 
57% 
71%"
"Overall","SARI cases (total)","2,723 
3,643 
5,947 
403"
"","Proportion of COVID-19 (%)","19% 
4.0% 
55% 
71%"
