"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40 - 47,  
week 48,  
2020 
2020 
2020 
2020"
"0 to 14 years","SARI cases (total)","322 
869 
308 
34"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.6% 
0.0%"
"15 to 34 years","SARI cases (total)","178 
189 
180 
27"
"","Proportion of COVID-19 (%)","19% 
13% 
48% 
67%"
"35 to 59 years","SARI cases (total)","534 
511 
595 
112"
"","Proportion of COVID-19 (%)","31% 
13% 
60% 
71%"
"60 years and older","SARI cases (total)","1,690 
2,075 
1,577 
257"
"","Proportion of COVID-19 (%)","19% 
2.5% 
41% 
58%"
"Overall","SARI cases (total)","2,724 
3,644 
2,660 
430"
"","Proportion of COVID-19 (%)","19% 
4.0% 
41% 
57%"
