"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","51,191 
257 
462","1,818 
16.4","1,894 
17.1"
"Bavaria","70,006 
375 
535","2,096 
16.0","2,674 
20.4"
"Berlin","15,949 
301 
426","1,518 
40.5","231 
6.2"
"Brandenburg","4,447 
26 
177","185 
7.4","169 
6.7"
"Bremen","2,632 
13 
385","249 
36.5","59 
8.6"
"Hamburg","8,339 
98 
453","485 
26.3","273 
14.8"
"Hesse","20,113 
135 
321","1,288 
20.6","556 
8.9"
"Mecklenburg-Western 
Pomerania*","1,293 
73 
80","123 
7.6","20 
1.2"
"Lower Saxony","21,284 
209 
267","1,113 
13.9","691 
8.7"
"North Rhine-Westphalia","73,842 
847 
412","4,388 
24.5","1,886 
10.5"
"Rhineland-Palatinate","11,215 
129 
275","551 
13.5","256 
6.3"
"Saarland*","3,449 
69 
348","148 
14.9","177 
17.9"
"Saxony","7,533 
31 
185","301 
7.4","239 
5.9"
"Saxony-Anhalt","2,764 
18 
125","145 
6.6","68 
3.1"
"Schleswig-Holstein","4,978 
40 
172","239 
8.3","162 
5.6"
"Thuringia","4,223 
18 
197","156 
7.3","191 
8.9"
"303,258 
2,639 
365 
14,803 
17.8 
9,546 
11.5 
Total","","",""
