"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","487.776","266","4.394","8.272","75","9.849","89"
"Bayern","634.746","357","4.836","7.423","57","14.795","113"
"Berlin","177.305","76","4.832","1.708","47","3.440","94"
"Brandenburg","107.820","21","4.275","1.109","44","3.699","147"
"Bremen","26.883","15","3.946","343","50","471","69"
"Hamburg","75.817","68","4.104","627","34","1.545","84"
"Hessen","283.959","89","4.516","4.317","69","7.215","115"
"Mecklenburg-
Vorpommern","43.610","10","2.712","605","38","1.109","69"
"Niedersachsen","256.233","71","3.205","3.423","43","5.561","70"
"Nordrhein-Westfalen","798.651","538","4.450","11.146","62","16.501","92"
"Rheinland-Pfalz","151.493","160","3.700","2.187","53","3.698","90"
"Saarland","40.429","16","4.097","743","75","997","101"
"Sachsen","281.905","40","6.923","2.852","70","9.567","235"
"Sachsen-Anhalt","97.760","37","4.454","1.103","50","3.282","150"
"Schleswig-Holstein","62.622","80","2.157","869","30","1.579","54"
"Thüringen","126.542","67","5.932","1.864","87","4.148","194"
"Gesamt","3.653.551","1.911","4.393","48.591","58","87.456","105"
