"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","488.136","360","4.397","6.583","59","9.875","89"
"Bayern","635.219","473","4.840","6.028","46","14.862","113"
"Berlin","177.535","230","4.838","1.442","39","3.454","94"
"Brandenburg","107.823","3","4.275","880","35","3.706","147"
"Bremen","26.900","17","3.949","281","41","472","69"
"Hamburg","75.856","39","4.106","536","29","1.545","84"
"Hessen","284.119","160","4.518","3.349","53","7.235","115"
"Mecklenburg-
Vorpommern","43.620","10","2.712","378","24","1.113","69"
"Niedersachsen","256.334","101","3.207","2.714","34","5.572","70"
"Nordrhein-Westfalen","799.290","639","4.454","9.254","52","16.561","92"
"Rheinland-Pfalz","151.647","154","3.704","1.846","45","3.709","91"
"Saarland","40.479","50","4.102","616","62","997","101"
"Sachsen","282.020","115","6.926","1.924","47","9.584","235"
"Sachsen-Anhalt","97.834","74","4.458","890","41","3.294","150"
"Schleswig-Holstein","62.656","34","2.158","702","24","1.582","54"
"Thüringen","126.709","167","5.939","1.499","70","4.165","195"
"Gesamt","3.656.177","2.626","4.396","38.922","47","87.726","105"
