"0","1","2","3"
"7-day 
Total 
Number 
Cases in 
Number of 
Cases/ 
incidence 
Number 
Federal State 
number 
of new 
the last 
deaths/ 
100,000 pop. 
per 100,000 
of deaths 
of cases 
cases 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","37,574 
60 
339","363 
3.3","1,851 
16.7"
"Bavaria","51,582 
205 
394","722 
5.5","2,624 
20.1"
"Berlin","9,490 
91 
253","310 
8.3","224 
6.0"
"Brandenburg","3,597 
9 
143","36 
1.4","168 
6.7"
"Bremen","1,792 
2 
262","29 
4.2","56 
8.2"
"Hamburg","5,486 
25 
298","101 
5.5","261 
14.2"
"Hesse","12,310 
56 
196","397 
6.3","523 
8.3"
"Mecklenburg-Western  
Pomerania","907 
18 
56","45 
2.8","20 
1.2"
"Lower Saxony","14,723 
52 
184","297 
3.7","654 
8.2"
"North Rhine-
Westphalia","50,493 
425 
282","2,052 
11.4","1,752 
9.8"
"Rhineland-Palatinate","7,667 
49 
188","169 
4.1","239 
5.9"
"Saarland","2,897 
6 
292","29 
2.9","174 
17.6"
"Saxony","5,570 
10 
137","33 
0.8","225 
5.5"
"Saxony-Anhalt","2,044 
8 
93","32 
1.4","64 
2.9"
"Schleswig-Holstein","3,534 
18 
122","128 
4.4","158 
5.5"
"Thuringia","3,401 
11 
159","40 
1.9","182 
8.5"
"213,067 
1,045 
256 
4,783 
5.8 
9,175 
11.0 
Total","","",""
