"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","408.807","1.202","3.683","18.930","171","9.085","82"
"Bayern","557.704","1.554","4.249","24.316","185","13.771","105"
"Berlin","159.767","513","4.354","5.346","146","3.153","86"
"Brandenburg","97.112","209","3.851","3.556","141","3.469","138"
"Bremen","23.598","66","3.464","1.118","164","436","64"
"Hamburg","68.512","271","3.709","2.302","125","1.434","78"
"Hessen","244.779","571","3.893","9.817","156","6.648","106"
"Mecklenburg-
Vorpommern","36.445","112","2.266","2.281","142","934","58"
"Niedersachsen","222.440","546","2.783","9.714","122","5.136","64"
"Nordrhein-Westfalen","684.238","2.252","3.813","30.235","168","14.974","83"
"Rheinland-Pfalz","130.750","643","3.194","5.803","142","3.469","85"
"Saarland","34.855","38","3.532","1.192","121","943","96"
"Sachsen","246.518","451","6.054","8.993","221","8.756","215"
"Sachsen-Anhalt","83.891","514","3.822","4.075","186","2.952","135"
"Schleswig-Holstein","55.478","208","1.911","2.101","72","1.480","51"
"Thüringen","108.414","459","5.082","5.254","246","3.663","172"
"Gesamt","3.163.308","9.609","3.804","135.033","162","80.303","97"
