"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","123.941 
3.071 
1.117","14.666 
132","2.369 
21,3"
"Bayern","168.358 
4.070 
1.283","21.933 
167","3.314 
25,3"
"Berlin","52.068 
1.457 
1.419","7.647 
208","401 
10,9"
"Brandenburg","13.947 
430 
553","1.910 
76","262 
10,4"
"Bremen","8.749 
302 
1.284","1.153 
169","103 
15,1"
"Hamburg","21.076 
246 
1.141","1.692 
92","318 
17,2"
"Hessen","70.200 
2.130 
1.116","10.217 
162","961 
15,3"
"Mecklenburg-
Vorpommern","4.787 
167 
298","747 
46","47 
2,9"
"Niedersachsen","58.346 
1.422 
730","6.842 
86","951 
11,9"
"Nordrhein-
Westfalen","216.809 
5.429 
1.208","29.892 
167","2.819 
15,7"
"Rheinland-Pfalz","35.065 
921 
857","5.519 
135","391 
9,6"
"Saarland","10.627 
103 
1.077","1.131 
115","231 
23,4"
"Sachsen","38.769 
1.878 
952","7.257 
178","582 
14,3"
"Sachsen-Anhalt","8.944 
275 
408","1.375 
63","113 
5,1"
"Schleswig-Holstein","12.124 
207 
418","1.360 
47","229 
7,9"
"Thüringen","12.106 
501 
567","2.191 
103","279 
13,1"
"Gesamt","855.916 
22.609 
1.029","115.532 
139","13.370 
16,1"
