"0","1"
"12. – 20. 
21. – 39. 
  
  
KW 2020 
KW 2020","40. – 44. KW 
45. KW 
2020 
2020"
"0 bis 14 Jahre 
SARI-Fälle (Anzahl) 
321 
857","199 
32"
"Anteil COVID-19 (%) 
0,3% 
0,2%","1,0% 
9,4%"
"15 bis 34 Jahre 
SARI-Fälle (Anzahl) 
175 
187","103 
18"
"Anteil COVID-19 (%) 
19% 
13%","35% 
67%"
"35 bis 59 Jahre 
SARI-Fälle (Anzahl) 
527 
503","269 
105"
"Anteil COVID-19 (%) 
31% 
13%","45% 
75%"
"60 Jahre und älter 
SARI-Fälle (Anzahl) 
1.652 
2.023","808 
235"
"Anteil COVID-19 (%) 
20% 
3%","27% 
48%"
"Gesamt 
SARI-Fälle (Anzahl 
2.675 
3.570","1.379 
390"
"Anteil COVID-19 (%) 
20% 
4%","27% 
53%"
