"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
Fälle 
Fälle 
100.000 
100.000 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","492.255","284","4.435","4.763","43","9.949","90"
"Bayern","639.245","428","4.871","4.783","36","14.942","114"
"Berlin","178.218","18","4.857","1.195","33","3.481","95"
"Brandenburg","108.220","19","4.291","471","19","3.728","148"
"Bremen","27.084","12","3.976","220","32","473","69"
"Hamburg","76.208","42","4.125","393","21","1.563","85"
"Hessen","286.586","123","4.558","2.649","42","7.327","117"
"Mecklenburg-
Vorpommern","43.840","13","2.726","237","15","1.121","70"
"Niedersachsen","258.072","116","3.228","1.866","23","5.609","70"
"Nordrhein-Westfalen","805.237","504","4.487","7.207","40","16.725","93"
"Rheinland-Pfalz","152.717","139","3.730","1.301","32","3.725","91"
"Saarland","40.724","13","4.127","314","32","1.006","102"
"Sachsen","283.757","167","6.969","1.710","42","9.683","238"
"Sachsen-Anhalt","98.405","40","4.484","622","28","3.315","151"
"Schleswig-Holstein","63.056","39","2.172","525","18","1.593","55"
"Thüringen","127.502","21","5.977","973","46","4.202","197"
"Gesamt","3.681.126","1.978","4.426","29.229","35","88.442","106"
