"0","1"
"Cumulative cases  
Last 7 days 
Cumulative deaths",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.",""
"Baden-Wuerttemberg","947 
2,843 
5,472 
49 
8,059 
72.6 
315,572"
"Bavaria","435,224 
1,420 
3,316 
7,921 
60 
12,363 
94.2"
"Berlin","128,936 
702 
3,514 
2,267 
62 
2,813 
76.7"
"Brandenburg","76,224 
242 
3,022 
1,591 
63 
2,992 
118.6"
"Bremen","17,894 
104 
2,627 
538 
79 
337 
49.5"
"Hamburg","51,450 
188 
2,785 
1,284 
70 
1,263 
68.4"
"Hesse","187,791 
780 
2,986 
4,017 
64 
5,815 
92.5"
"Mecklenburg- 
Western Pomerania","24,313 
183 
1,512 
984 
61 
736 
45.8"
"Lower Saxony","163,594 
926 
2,047 
5,200 
65 
4,287 
53.6"
"North Rhine-Westphalia","530,703 
2,013 
2,957 
11,630 
65 
13,028 
72.6"
"Rhineland-Palatinate","101,823 
388 
2,487 
2,207 
54 
3,089 
75.5"
"Saarland *","28,797 
131 
2,918 
677 
69 
866 
87.8"
"Saxony","193,707 
602 
4,757 
3,177 
78 
7,707 
189.3"
"Saxony-Anhalt","60,236 
373 
2,745 
1,947 
89 
2,406 
109.6"
"Schleswig-Holstein","42,235 
246 
1,454 
1,459 
50 
1,280 
44.1"
"Thuringia","75,947 
517 
3,560 
2,677 
125 
2,847 
133.5"
"Total","2,434,446 
9,762 
2,927 
53,048 
64 
69,888 
84.0"
