"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","500.347","94","4.507","810","7","10.222","92"
"Bayern","647.227","112","4.931","918","7","15.241","116"
"Berlin","180.102","6","4.908","238","6","3.556","97"
"Brandenburg","108.672","7","4.309","65","3","3.794","150"
"Bremen","27.425","-4","4.026","49","7","483","71"
"Hamburg","77.288","35","4.184","183","10","1.590","86"
"Hessen","290.688","65","4.623","471","7","7.504","119"
"Mecklenburg-
Vorpommern","44.135","2","2.744","34","2","1.152","72"
"Niedersachsen","260.905","33","3.264","245","3","5.757","72"
"Nordrhein-Westfalen","815.785","123","4.545","1.055","6","17.113","95"
"Rheinland-Pfalz","155.093","21","3.788","228","6","3.882","95"
"Saarland","41.451","8","4.200","70","7","1.019","103"
"Sachsen","285.776","17","7.018","135","3","10.068","247"
"Sachsen-Anhalt","99.222","0","4.521","40","2","3.425","156"
"Schleswig-Holstein","63.854","16","2.199","96","3","1.620","56"
"Thüringen","128.740","3","6.035","78","4","4.328","203"
"Gesamt","3.726.710","538","4.481","4.715","6","90.754","109"
