"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","133.583 
1.572 
1.203","15.471 
139","2.449 
22,1"
"Bayern","183.189 
2.188 
1.396","23.144 
176","3.440 
26,2"
"Berlin","56.504 
436 
1.540","8.064 
220","449 
12,2"
"Brandenburg","15.673 
358 
621","2.427 
96","280 
11,1"
"Bremen","9.284 
72 
1.363","998 
147","108 
15,9"
"Hamburg","22.702 
171 
1.229","1.952 
106","338 
18,3"
"Hessen","76.341 
552 
1.214","10.401 
165","1.033 
16,4"
"Mecklenburg-
Vorpommern","5.189 
35 
323","748 
47","53 
3,3"
"Niedersachsen","63.305 
752 
792","7.143 
89","1.010 
12,6"
"Nordrhein-
Westfalen","233.020 
2.044 
1.298","28.666 
160","2.977 
16,6"
"Rheinland-Pfalz","38.309 
722 
936","5.297 
129","420 
10,3"
"Saarland","11.385 
40 
1.154","1.066 
108","236 
23,9"
"Sachsen","43.967 
1.370 
1.080","7.942 
195","667 
16,4"
"Sachsen-Anhalt","10.030 
239 
457","1.661 
76","122 
5,6"
"Schleswig-Holstein","12.912 
121 
445","1.350 
46","234 
8,1"
"Thüringen","13.740 
192 
644","2.658 
125","296 
13,9"
"Gesamt","929.133 
10.864 
1117","118.988 
143","14.112 
17,0"
