"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","53,344 
530 
481","2,621 
23.6","1.899 
17.1"
"Bavaria","72,402 
643 
552","3,034 
23.1","2.684 
20.4"
"Berlin","17,555 
443 
478","1,967 
53.6","234 
6.4"
"Brandenburg","4,692 
89 
186","266 
10.5","169 
6.7"
"Bremen","2,880 
0 
423","326 
47.9","60 
8.8"
"Hamburg","8,814 
145 
477","540 
29.2","277 
15.0"
"Hesse","21,586 
494 
343","1,883 
29.9","559 
8.9"
"Mecklenburg-Western 
Pomerania","1,373 
29 
85","116 
7.2","20 
1.2"
"Lower Saxony","22,490 
348 
281","1,451 
18.2","697 
8.7"
"North Rhine-Westphalia","78,218 
1422 
436","5,820 
32.4","1.905 
10.6"
"Rhineland-Palatinate","11,808 
206 
288","755 
18.4","256 
6.3"
"Saarland","3,586 
35 
363","175 
17.7","177 
17.9"
"Saxony","8,203 
216 
201","676 
16.6","246 
6.0"
"Saxony-Anhalt","2,858 
26 
130","123 
5.6","68 
3.1"
"Schleswig-Holstein","5,209 
54 
179","302 
10.4","162 
5.6"
"Thuringia","4,363 
41 
205","193 
9.0","191 
9.0"
"Total 
319,381 
4,721 
384 
20,248 
24.3 
9,604 
11.5","","",""
