"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Total 
Cases/ 
Cases in 
Number of 
Number of 
incidence/ 
Number of 
Federal State 
number of 
100,000 
the last 
deaths/ 
new cases* 
100,000 
deaths 
cases 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","264,735 
2,226 
2,385","14,397 
130","5,758 
51.9"
"Bavaria","361,582 
2,778 
2,755","19,390 
148","8,216 
62.6"
"Berlin","108,295 
1,069 
2,951","6,737 
184","1,635 
44.6"
"Brandenburg","52,285 
764 
2,073","5,791 
230","1,361 
54.0"
"Bremen","14,469 
86 
2,124","570 
84","226 
33.2"
"Hamburg","41,350 
390 
2,238","2,210 
120","851 
46.1"
"Hesse","152,844 
1,551 
2,431","9,430 
150","3,716 
59.1"
"Mecklenburg- 
Western Pomerania","15,316 
434 
952","1,964 
122","260 
16.2"
"Lower Saxony","122,431 
1,328 
1,532","8,639 
108","2,442 
30.5"
"North Rhine-Westphalia","435,464 
3,657 
2,426","25,445 
142","8,402 
46.8"
"Rhineland-Palatinate","81,737 
698 
1,997","5,418 
132","1,870 
45.7"
"Saarland","22,279 
137 
2,258","1,741 
176","566 
57.4"
"Saxony","158,624 
1,947 
3,896","12,395 
304","4,323 
106.2"
"Saxony-Anhalt","39,233 
913 
1,788","5,096 
232","949 
43.2"
"Schleswig-Holstein","29,250 
405 
1,007","2,734 
94","594 
20.5"
"Thuringia","53,532 
1,217 
2,509","6,916 
324","1,468 
68.8"
"Total","1,953,426 
19,600 
2,349","128,873 
155","42,637 
51.3"
