"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","127.103 
3.162 
1.145","14.829 
133,6","2.405 
21,7"
"Bayern","173.239 
4.881 
1.320","22.100 
168,4","3.348 
25,5"
"Berlin","53.315 
1.247 
1.453","7.334 
199,9","422 
11,5"
"Brandenburg","14.347 
400 
569","1.924 
76,3","270 
10,7"
"Bremen","8.867 
118 
1.302","1.012 
148,6","104 
15,3"
"Hamburg","21.735 
659 
1.177","1.873 
101,4","331 
17,9"
"Hessen","72.525 
2.325 
1.153","10.708 
170,3","980 
15,6"
"Mecklenburg-
Vorpommern","4.932 
145 
307","726 
45,1","49 
3,0"
"Niedersachsen","59.968 
1.622 
750","6.770 
84,7","970 
12,1"
"Nordrhein-
Westfalen","222.535 
5.726 
1.240","29.879 
166,5","2.887 
16,1"
"Rheinland-Pfalz","36.091 
1.026 
882","5.358 
130,9","402 
9,8"
"Saarland","11.006 
379 
1.115","1.225 
124,1","234 
23,7"
"Sachsen","39.801 
1.032 
977","6.902 
169,5","602 
14,8"
"Sachsen-Anhalt","9.266 
322 
422","1.424 
64,9","113 
5,1"
"Schleswig-Holstein","12.388 
264 
427","1.394 
48,0","231 
8,0"
"Thüringen","12.446 
340 
583","2.127 
99,7","282 
13,2"
"Gesamt","879.564 
23.648 
1.058","115.585 
139,0","13.630 
16,4"
