"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
100.000 
100.000 
100.000 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","466.881","981","4.206","16.117","145","9.537","86"
"Bayern","615.338","1.232","4.688","15.684","119","14.417","110"
"Berlin","172.726","79","4.707","3.698","101","3.301","90"
"Brandenburg","105.072","142","4.166","2.222","88","3.633","144"
"Bremen","26.143","37","3.838","676","99","463","68"
"Hamburg","73.980","148","4.005","1.381","75","1.519","82"
"Hessen","273.352","390","4.347","7.602","121","7.055","112"
"Mecklenburg-
Vorpommern","42.015","54","2.613","1.402","87","1.044","65"
"Niedersachsen","247.422","406","3.095","6.760","85","5.410","68"
"Nordrhein-Westfalen","769.889","1.695","4.290","23.117","129","15.943","89"
"Rheinland-Pfalz","145.732","448","3.560","4.084","100","3.614","88"
"Saarland","38.790","46","3.931","1.083","110","967","98"
"Sachsen","273.097","639","6.707","7.181","176","9.273","228"
"Sachsen-Anhalt","94.548","263","4.308","2.763","126","3.164","144"
"Schleswig-Holstein","60.624","115","2.088","1.476","51","1.529","53"
"Thüringen","121.642","247","5.702","3.781","177","3.960","186"
"Gesamt","3.527.251","6.922","4.241","99.027","119","84.829","102"
