"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","305,815 
791 
2,755","5,388 
49","7,741 
69.7"
"Bavaria","420,472 
828 
3,204","7,295 
56","11,679 
89.0"
"Berlin","124,711 
193 
3,399","2,100 
57","2,604 
71.0"
"Brandenburg","73,087 
234 
2,898","1,804 
72","2,790 
110.6"
"Bremen","16,909 
51 
2,482","400 
59","310 
45.5"
"Hamburg","48,865 
179 
2,645","1,146 
62","1,196 
64.7"
"Hesse","180,444 
394 
2,870","3,456 
55","5,448 
86.6"
"Mecklenburg- 
Western Pomerania","22,276 
169 
1,385","1,071 
67","628 
39.1"
"Lower Saxony","153,187 
733 
1,916","4,659 
58","3,836 
48.0"
"North Rhine-Westphalia","509,494 
1,291 
2,839","9,714 
54","12,096 
67.4"
"Rhineland-Palatinate","97,640 
119 
2,385","1,907 
47","2,877 
70.3"
"Saarland","27,593 
79 
2,796","709 
72","817 
82.8"
"Saxony","187,317 
256 
4,600","2,648 
65","7,127 
175.0"
"Saxony-Anhalt","56,457 
326 
2,572","1,675 
76","2,109 
96.1"
"Schleswig-Holstein","39,539 
188 
1,362","1,661 
57","1,126 
38.8"
"Thuringia","70,755 
283 
3,317","2,082 
98","2,576 
120.7"
"Total","2,334,561 
6,114 
2,807","47,715 
57","64,960 
78.1"
