"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-Württemberg","53.344 
530 
481","2.621 
23,6","1.899 
17,1"
"Bayern","72.402 
643 
552","3.034 
23,1","2.684 
20,4"
"Berlin","17.555 
443 
478","1.967 
53,6","234 
6,4"
"Brandenburg","4.692 
89 
186","266 
10,5","169 
6,7"
"Bremen","2.880 
0 
423","326 
47,9","60 
8,8"
"Hamburg","8.814 
145 
477","540 
29,2","277 
15,0"
"Hessen","21.586 
494 
343","1.883 
29,9","559 
8,9"
"Mecklenburg-
Vorpommern","1.373 
29 
85","116 
7,2","20 
1,2"
"Niedersachsen","22.490 
348 
281","1.451 
18,2","697 
8,7"
"Nordrhein-Westfalen","78.218 
1422 
436","5.820 
32,4","1.905 
10,6"
"Rheinland-Pfalz","11.808 
206 
288","755 
18,4","256 
6,3"
"Saarland","3.586 
35 
363","175 
17,7","177 
17,9"
"Sachsen","8.203 
216 
201","676 
16,6","246 
6,0"
"Sachsen-Anhalt","2.858 
26 
130","123 
5,6","68 
3,1"
"Schleswig-Holstein","5.209 
54 
179","302 
10,4","162 
5,6"
"Thüringen","4.363 
41 
205","193 
9,0","191 
9,0"
"Gesamt","319.381 
4.721 
384","20.248 
24,3","9.604 
11,5"
