"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","501.675","45","4.519","714","6,4","10.317","93"
"Bayern","648.968","82","4.945","961","7,3","15.295","117"
"Berlin","180.545","0","4.920","267","7,3","3.564","97"
"Brandenburg","108.813","5","4.315","93","3,7","3.812","151"
"Bremen","27.549","7","4.044","72","10,6","488","72"
"Hamburg","77.670","24","4.205","198","10,7","1.602","87"
"Hessen","291.793","32","4.640","605","9,6","7.555","120"
"Mecklenburg-
Vorpommern","44.186","1","2.748","27","1,7","1.161","72"
"Niedersachsen *","261.648","0","3.273","428","5,4","5.798","73"
"Nordrhein-Westfalen","818.143","86","4.559","1.268","7,1","17.206","96"
"Rheinland-Pfalz","155.624","18","3.801","284","6,9","3.894","95"
"Saarland","41.624","2","4.218","76","7,7","1.028","104"
"Sachsen","286.028","6","7.024","90","2,2","10.103","248"
"Sachsen-Anhalt","99.283","0","4.524","31","1,4","3.430","156"
"Schleswig-Holstein","64.085","12","2.207","118","4,1","1.626","56"
"Thüringen","128.855","4","6.040","52","2,4","4.354","204"
"Gesamt","3.736.489","324","4.493","5.284","6,4","91.233","110"
