"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","311,157 
303 
2,803","4,892 
44","7,940 
71.5"
"Bavaria","429,024 
732 
3,269","7,664 
58","12,123 
92.4"
"Berlin","126,898 
73 
3,458","2,103 
57","2,728 
74.3"
"Brandenburg","74,955 
112 
2,972","1,600 
63","2,914 
115.5"
"Bremen","17,485 
60 
2,567","511 
75","327 
48.0"
"Hamburg","50,292 
113 
2,723","1,182 
64","1,223 
66.2"
"Hesse","184,447 
195 
2,933","3,755 
60","5,672 
90.2"
"Mecklenburg- 
Western Pomerania","23,436 
78 
1,457","1,087 
68","692 
43.0"
"Lower Saxony","159,196 
599 
1,992","5,084 
64","4,104 
51.3"
"North Rhine-Westphalia","521,557 
918 
2,906","11,081 
62","12,633 
70.4"
"Rhineland-Palatinate","100,119 
338 
2,446","2,105 
51","2,993 
73.1"
"Saarland *","28,056 
0 
2,843","440 
45","848 
85.9"
"Saxony","190,814 
332 
4,686","3,045 
75","7,460 
183.2"
"Saxony-Anhalt","58,674 
194 
2,673","1,975 
90","2,293 
104.5"
"Schleswig-Holstein","41,115 
112 
1,416","1,478 
51","1,211 
41.7"
"Thuringia","73,703 
210 
3,455","2,689 
126","2,742 
128.5"
"Total","2,390,928 
4,369 
2,875","50,691 
61","67,903 
81.6"
