"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","485.754","1.247","4.376","8.935","80","9.828","89"
"Bayern","632.774","853","4.821","8.570","65","14.766","113"
"Berlin","177.033","280","4.824","2.057","56","3.429","93"
"Brandenburg","107.601","176","4.267","1.247","49","3.697","147"
"Bremen","26.820","42","3.937","401","59","471","69"
"Hamburg","75.579","100","4.091","646","35","1.543","84"
"Hessen","283.061","611","4.502","4.807","76","7.201","115"
"Mecklenburg-
Vorpommern","43.517","84","2.706","720","45","1.106","69"
"Niedersachsen","255.516","557","3.197","3.744","47","5.559","70"
"Nordrhein-Westfalen","795.890","1.695","4.435","13.169","73","16.473","92"
"Rheinland-Pfalz","150.983","364","3.688","2.506","61","3.694","90"
"Saarland","40.281","133","4.082","821","83","995","101"
"Sachsen","281.297","386","6.908","3.485","86","9.546","234"
"Sachsen-Anhalt","97.515","152","4.443","1.267","58","3.278","149"
"Schleswig-Holstein","62.409","172","2.149","956","33","1.574","54"
"Thüringen","126.214","230","5.916","2.239","105","4.138","194"
"Gesamt","3.642.244","7.082","4.379","55.570","67","87.298","105"
