"0","1"
"12. – 20. KW 
21. – 39. KW 
  
  
2020 
2020","40. – 45. KW 
46. KW 
2020 
2020"
"0 bis 14 Jahre 
SARI-Fälle (Anzahl) 
321 
857","231 
40"
"Anteil COVID-19 (%) 
0,3% 
0,2%","2,2% 
13%"
"15 bis 34 Jahre 
SARI-Fälle (Anzahl) 
175 
188","123 
34"
"Anteil COVID-19 (%) 
19% 
13%","40% 
62%"
"35 bis 59 Jahre 
SARI-Fälle (Anzahl) 
527 
504","378 
113"
"Anteil COVID-19 (%) 
31% 
13%","53% 
72%"
"60 Jahre und älter 
SARI-Fälle (Anzahl) 
1.652 
2.023","1.041 
271"
"Anteil COVID-19 (%) 
20% 
3%","32% 
61%"
"Gesamt 
SARI-Fälle (Anzahl 
2.675 
3.572","1.773 
458"
"Anteil COVID-19 (%) 
20% 
4%","33% 
59%"
