"0","1","2","3"
"Meldewoche 50 
Meldewoche 51 
Änderung im Vergleich 
Bundesland 
Anzahl 
Inzidenz 
Anzahl 
Inzidenz 
Anzahl 
Anteil","","",""
"Baden-Württemberg","21.629 
195","23.657 
213","2.028 
+9%"
"Bayern","28.202 
215","29.304 
223","1.102 
+4%"
"Berlin","7.557 
206","8.224 
224","667 
+9%"
"Brandenburg","4.561 
181","5.264 
209","703 
+15%"
"Bremen","908 
133","889 
131","-19 
-2%"
"Hamburg","2.633 
143","3.017 
163","384 
+15%"
"Hessen","11.846 
188","13.300 
212","1.454 
+12%"
"Mecklenburg-Vorpommern","1.457 
91","1.563 
97","106 
+7%"
"Niedersachsen","7.913 
99","9.183 
115","1.270 
+16%"
"Nordrhein-Westfalen","31.477 
175","34.497 
192","3.020 
+10%"
"Rheinland-Pfalz","6.915 
169","7.315 
179","400 
+6%"
"Saarland","1.927 
195","1.707 
173","-220 
-11%"
"Sachsen","17.492 
430","19.697 
484","2.205 
+13%"
"Sachsen-Anhalt","3.608 
164","4.488 
204","880 
+24%"
"Schleswig-Holstein","2.347 
81","2.730 
94","383 
+16%"
"Thüringen","5.331 
250","6.427 
301","1.096 
+21%"
"Gesamt 
21.629 
195 
23.657 
213 
2.028 
+9%","","",""
