"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/ 
Fälle/ 
Fälle/ 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
100.000 EW 
100.000 EW 
100.000 EW",""
"Baden-Württemberg","228.893 
1.588 
2.062 
17.773 
160 
4.438 
40,0"
"Bayern","311.091 
2.440 
2.370 
22.447 
171 
6.213 
47,3"
"Berlin","92.981 
635 
2.534 
5.773 
157 
1.128 
30,7"
"Brandenburg","36.795 
581 
1.459 
3.600 
143 
781 
31,0"
"Bremen","13.165 
31 
1.933 
701 
103 
182 
26,7"
"Hamburg","35.110 
297 
1.901 
2.565 
139 
586 
31,7"
"Hessen","131.434 
1.325 
2.090 
10.176 
162 
2.484 
39,5"
"Mecklenburg-
Vorpommern","10.939 
98 
680 
1.247 
78 
142 
8,8"
"Niedersachsen","102.850 
973 
1.287 
7.776 
97 
1.788 
22,4"
"Nordrhein-Westfalen","378.105 
2.391 
2.107 
27.022 
151 
5.964 
33,2"
"Rheinland-Pfalz","68.758 
645 
1.680 
5.550 
136 
1.257 
30,7"
"Saarland","19.150 
28 
1.940 
1.419 
144 
406 
41,1"
"Sachsen","122.450 
1.390 
3.007 
15.303 
376 
2.706 
66,5"
"Sachsen-Anhalt","27.064 
495 
1.233 
4.108 
187 
509 
23,2"
"Schleswig-Holstein","23.333 
239 
804 
2.492 
86 
366 
12,6"
"Thüringen","38.740 
599 
1.816 
6.190 
290 
828 
38,8"
"Gesamt","1.640.858 
13.755 
1.973 
134.142 
161 
29.778 
35,8"
