"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","497.813","388","4.485","2.890","26","10.072","91"
"Bayern","644.730","332","4.912","2.887","22","15.096","115"
"Berlin","179.653","100","4.896","574","16","3.518","96"
"Brandenburg","108.613","-40*","4.307","174","7","3.755","149"
"Bremen","27.330","15","4.012","113","17","478","70"
"Hamburg","76.827","32","4.159","264","14","1.580","86"
"Hessen","289.345","177","4.601","1.389","22","7.432","118"
"Mecklenburg-
Vorpommern","44.058","13","2.740","85","5","1.145","71"
"Niedersachsen","260.120","78","3.254","834","10","5.697","71"
"Nordrhein-Westfalen","812.915","491","4.529","3.553","20","16.977","95"
"Rheinland-Pfalz","154.392","78","3.771","783","19","3.783","92"
"Saarland","41.229","33","4.178","212","21","1.016","103"
"Sachsen","285.362","75","7.008","562","14","9.972","245"
"Sachsen-Anhalt","99.055","38","4.513","203","9","3.399","155"
"Schleswig-Holstein","63.601","52","2.190","275","9","1.613","56"
"Thüringen","128.437","49","6.020","383","18","4.283","201"
"Gesamt","3.713.480","1.911","4.465","15.181","18","89.816","108"
