"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","99.046 
2.444 
892","14.999 
135,1","2.111 
19,0"
"Bayern","130.635 
3.021 
995","21.440 
163,4","2.913 
22,2"
"Berlin","39.383 
697 
1.073","6.915 
188,4","294 
8,0"
"Brandenburg","10.296 
210 
408","1.637 
64,9","215 
8,5"
"Bremen","7.067 
195 
1.037","1.533 
225,0","86 
12,6"
"Hamburg","16.854 
591 
912","2.285 
123,7","304 
16,5"
"Hessen","53.161 
1.723 
845","10.362 
164,8","753 
12,0"
"Mecklenburg-
Vorpommern","3.693 
113 
230","796 
49,5","29 
1,8"
"Niedersachsen","45.002 
993 
563","6.858 
85,8","817 
10,2"
"Nordrhein-
Westfalen","168.205 
3.286 
937","29.615 
165,0","2.341 
13,0"
"Rheinland-Pfalz","25.721 
379 
628","4.729 
115,5","316 
7,7"
"Saarland","8.327 
197 
844","1.398 
141,7","199 
20,2"
"Sachsen","25.878 
1.623 
636","5.903 
145,0","402 
9,9"
"Sachsen-Anhalt","6.583 
101 
300","1.224 
55,8","90 
4,1"
"Schleswig-Holstein","9.823 
233 
338","1.500 
51,7","200 
6,9"
"Thüringen","8.831 
211 
414","1.592 
74,6","219 
10,3"
"Gesamt","658.505 
16.017 
792","112.786 
135,6","11.289 
13,6"
