"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ 
Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.","","",""
"Baden-
Württemberg","96.602 
3.338 
870","14.217 
128,1","2.107 
19,0"
"Bayern","127.614 
4.389 
972","21.046 
160,4","2.905 
22,1"
"Berlin","38.686 
1.329 
1.054","6.567 
179,0","292 
8,0"
"Brandenburg","10.086 
526 
400","1.671 
66,3","213 
8,4"
"Bremen","6.872 
273 
1.009","1.537 
225,6","85 
12,5"
"Hamburg","16.263 
485 
880","2.002 
108,4","298 
16,1"
"Hessen","51.438 
2.111 
818","10.079 
160,3","741 
11,8"
"Mecklenburg-
Vorpommern","3.580 
165 
223","774 
48,1","29 
1,8"
"Niedersachsen","44.009 
1.302 
551","6.862 
85,8","811 
10,1"
"Nordrhein-
Westfalen","164.919 
5.892 
919","30.231 
168,4","2.334 
13,0"
"Rheinland-Pfalz","25.342 
1.022 
619","4.813 
117,6","316 
7,7"
"Saarland","8.130 
365 
824","1.458 
147,7","199 
20,2"
"Sachsen","24.255 
1.298 
596","5.284 
129,8","389 
9,6"
"Sachsen-Anhalt","6.482 
312 
295","1.278 
58,2","89 
4,1"
"Schleswig-Holstein","9.590 
274 
330","1.507 
51,9","200 
6,9"
"Thüringen","8.620 
318 
404","1.548 
72,6","218 
10,2"
"Gesamt","642.488 
23.399 
773","110.874 
133,3","11.226 
13,5"
