"0","1","2","3","4","5","6","7"
"Letzte 7 Tage 
Fälle kumulativ 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
100.000 
100.000 
100.000 
Fälle 
Fälle 
Fälle 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","388.266","1.547","3.498","15.491","140","8.927","80,4"
"Bayern","530.864","3.296","4.045","20.117","153","13.514","103,0"
"Berlin","153.452","493","4.182","4.195","114","3.122","85,1"
"Brandenburg","93.345","318","3.701","3.150","125","3.373","133,7"
"Bremen","22.386","104","3.286","917","135","420","61,7"
"Hamburg","65.606","340","3.552","2.367","128","1.412","76,4"
"Hessen","233.812","628","3.718","8.895","141","6.488","103,2"
"Mecklenburg-
Vorpommern","33.839","175","2.104","1.984","123","907","56,4"
"Niedersachsen","211.519","1.008","2.646","8.217","103","5.019","62,8"
"Nordrhein-Westfalen","649.941","2.386","3.621","23.462","131","14.587","81,3"
"Rheinland-Pfalz","124.109","727","3.032","4.463","109","3.398","83,0"
"Saarland","33.562","63","3.401","1.161","118","932","94,4"
"Sachsen","235.712","1.039","5.789","8.289","204","8.558","210,2"
"Sachsen-Anhalt","79.262","528","3.611","3.809","174","2.833","129,1"
"Schleswig-Holstein","53.135","149","1.830","2.064","71","1.461","50,3"
"Thüringen","102.703","444","4.814","4.874","228","3.501","164,1"
"Gesamt","3.011.513","13.245","3.621","113.455","136","78.452","94,3"
