"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Differenz 
Fälle/ 
Fälle/ 
Fälle/ 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
100.000 EW 
100.000 EW 
100.000 EW",""
"Baden-Württemberg","243.914 
1.170 
2.197 
14.266 
129 
4.925 
44,4"
"Bayern","332.619 
1.764 
2.534 
20.621 
157 
6.868 
52,3"
"Berlin","98.097 
460 
2.673 
4.443 
121 
1.285 
35,0"
"Brandenburg","42.713 
329 
1.694 
4.462 
177 
993 
39,4"
"Bremen","13.713 
10 
2.013 
556 
82 
202 
29,7"
"Hamburg","37.535 
242 
2.032 
2.180 
118 
661 
35,8"
"Hessen","139.965 
597 
2.226 
8.437 
134 
2.962 
47,1"
"Mecklenburg-
Vorpommern","12.454 
92 
774 
1.459 
91 
177 
11,0"
"Niedersachsen","110.271 
461 
1.379 
7.114 
89 
2.028 
25,4"
"Nordrhein-Westfalen","400.594 
1.916 
2.232 
22.030 
123 
6.751 
37,6"
"Rheinland-Pfalz","73.915 
370 
1.805 
4.822 
118 
1.466 
35,8"
"Saarland","20.141 
30 
2.041 
895 
91 
441 
44,7"
"Sachsen","138.332 
1.301 
3.397 
13.425 
330 
3.353 
82,3"
"Sachsen-Anhalt","31.497 
789 
1.435 
3.826 
174 
687 
31,3"
"Schleswig-Holstein","25.540 
293 
880 
2.248 
77 
443 
15,3"
"Thüringen","44.366 
491 
2.080 
5.310 
249 
1.030 
48,3"
"Gesamt","1.765.666 
10.315 
2.123 
116.094 
140 
34.272 
41,2"
