"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","500.253","160","4.507","878","8","10.221","92"
"Bayern","647.115","8","4.930","946","7","15.240","116"
"Berlin","180.096","25","4.908","247","7","3.556","97"
"Brandenburg","108.665","16","4.309","70","3","3.794","150"
"Bremen","27.429","6","4.027","52","8","483","71"
"Hamburg","77.253","18","4.182","168","9","1.589","86"
"Hessen","290.623","85","4.622","471","7","7.503","119"
"Mecklenburg-
Vorpommern","44.133","12","2.744","34","2","1.152","72"
"Niedersachsen","260.872","29","3.264","259","3","5.757","72"
"Nordrhein-Westfalen","815.662","146","4.545","1.107","6","17.112","95"
"Rheinland-Pfalz","155.072","38","3.788","236","6","3.881","95"
"Saarland","41.443","8","4.199","81","8","1.019","103"
"Sachsen","285.759","4","7.018","139","3","10.067","247"
"Sachsen-Anhalt","99.222","14","4.521","51","2","3.425","156"
"Schleswig-Holstein","63.838","14","2.198","96","3","1.620","56"
"Thüringen","128.737","9","6.034","89","4","4.327","203"
"Gesamt","3.726.172","592","4.480","4.924","6","90.746","109"
