"0","1","2","3"
"Total 
Number 
Cases in 
7-day 
Number 
Number of 
Cases/ 
Federal State 
number 
of new 
the last 
incidence per 
of 
deaths/ 
100,000 pop. 
of cases 
cases 
7 days 
100,000 pop. 
deaths 
100,000 pop.","","",""
"Baden-Wuerttemberg","39,493 
266 
357","1,076 
9.7","1,863 
16.8"
"Bavaria","54,416 
315 
416","1,676 
12.8","2,632 
20.1"
"Berlin","10,543 
80 
281","388 
10.4","226 
6.0"
"Brandenburg","3,758 
18 
150","67 
2.7","169 
6.7"
"Bremen","1,885 
8 
276","57 
8.3","56 
8.2"
"Hamburg","5,989 
35 
325","126 
6.8","265 
14.4"
"Hesse","14,260 
231 
228","974 
15.5","528 
8.4"
"Mecklenburg-Western  
Pomerania","984 
3 
61","25 
1.6","20 
1.2"
"Lower Saxony","15,885 
161 
199","545 
6.8","659 
8.3"
"North Rhine-
Westphalia","55,936 
166 
312","2,133 
11.9","1,790 
10.0"
"Rhineland-Palatinate","8,514 
87 
208","436 
10.7","242 
5.9"
"Saarland","3,040 
1 
307","63 
6.4","174 
17.6"
"Saxony","5,788 
19 
142","66 
1.6","225 
5.5"
"Saxony-Anhalt","2,155 
9 
98","49 
2.2","65 
2.9"
"Schleswig-Holstein","3,872 
21 
134","129 
4.5","160 
5.5"
"Thuringia","3,530 
7 
165","43 
2.0","186 
8.7"
"Total 
230,048 
1,427 
277 
7,853 
9.4 
9,260 
11.1","","",""
