"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag* 
Einw. 
Einw.","","",""
"Baden-Württemberg","1953 
586 
65.085","6.803 
61,3","1.957 
17,6"
"Bayern","86.054 
1964 
656","8.753 
66,7","2.734 
20,8"
"Berlin","24.481 
783 
667","3.882 
105,8","245 
6,7"
"Brandenburg","6.020 
72 
239","675 
26,8","179 
7,1"
"Bremen","3.876 
8 
569","508 
74,6","63 
9,2"
"Hamburg","10.683 
276 
578","975 
52,8","283 
15,3"
"Hessen","29.398 
958 
468","5.063 
80,5","600 
9,5"
"Mecklenburg-
Vorpommern","1.936 
59 
120","318 
19,8","21 
1,3"
"Niedersachsen","28.078 
652 
351","2.973 
37,2","723 
9,0"
"Nordrhein-Westfalen","100.247 
2740 
559","13.363 
74,5","1.994 
11,1"
"Rheinland-Pfalz","15.186 
546 
371","2.067 
50,5","267 
6,5"
"Saarland","4.856 
231 
492","686 
69,5","178 
18,0"
"Sachsen","12.071 
564 
296","2.146 
52,7","272 
6,7"
"Sachsen-Anhalt","3.642 
155 
166","505 
23,0","73 
3,3"
"Schleswig-Holstein","6.284 
137 
216","742 
25,6","164 
5,6"
"Thüringen","5.394 
144 
253","664 
31,1","201 
9,4"
"Gesamt","403.291 
11.242 
485","50.123 
60,3","9.954 
12,0"
