"0","1"
"Todesfälle 
 
Fälle kumulativ 
Letzte 7 Tage 
kumulativ",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.",""
"Baden-Württemberg","212.221 
2.361 
1.912 
23.056 
208 
3.969 
35,8"
"Bayern","289.760 
2.553 
2.208 
28.451 
217 
5.692 
43,4"
"Berlin","86.884 
320 
2.368 
7.634 
208 
1.006 
27,4"
"Brandenburg","32.379 
504 
1.284 
4.638 
184 
658 
26,1"
"Bremen","12.599 
142 
1.850 
889 
131 
171 
25,1"
"Hamburg","32.425 
309 
1.755 
2.725 
148 
547 
29,6"
"Hessen","121.962 
1.246 
1.940 
13.149 
209 
2.147 
34,1"
"Mecklenburg-
Vorpommern","9.796 
132 
609 
1.551 
96 
119 
7,4"
"Niedersachsen","94.996 
1.185 
1.188 
8.760 
110 
1.648 
20,6"
"Nordrhein-Westfalen","352.719 
3.256 
1.965 
33.426 
186 
5.245 
29,2"
"Rheinland-Pfalz","63.586 
966 
1.553 
6.791 
166 
1.062 
25,9"
"Saarland","17.732 
212 
1.797 
1.641 
166 
360 
36,5"
"Sachsen","107.014 
2.270 
2.628 
18.095 
444 
2.252 
55,3"
"Sachsen-Anhalt","22.978 
458 
1.047 
4.134 
188 
392 
17,9"
"Schleswig-Holstein","20.849 
157 
718 
2.713 
93 
324 
11,2"
"Thüringen","32.752 
572 
1.535 
6.259 
293 
683 
32,0"
"Gesamt","1.510.652 
16.643 
1.816 
163.912 
197 
26.275 
31,6"
