"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","498.347","97","4.489","2.452","22","10.096","91"
"Bayern","645.221","66","4.916","2.464","19","15.111","115"
"Berlin","179.734","58","4.898","499","14","3.520","96"
"Brandenburg","108.622","-32","4.307","157","6","3.757","149"
"Bremen","27.346","1","4.014","99","15","480","70"
"Hamburg","76.925","42","4.164","252","14","1.580","86"
"Hessen","289.564","48","4.605","1.195","19","7.442","118"
"Mecklenburg-
Vorpommern","44.077","8","2.741","74","5","1.146","71"
"Niedersachsen","260.246","11","3.256","678","8","5.706","71"
"Nordrhein-Westfalen","813.572","225","4.533","3.040","17","16.995","95"
"Rheinland-Pfalz","154.550","65","3.775","653","16","3.789","93"
"Saarland","41.272","4","4.182","202","20","1.017","103"
"Sachsen","285.458","31","7.010","448","11","9.981","245"
"Sachsen-Anhalt","99.093","12","4.515","146","7","3.400","155"
"Schleswig-Holstein","63.642","4","2.192","235","8","1.617","56"
"Thüringen","128.501","12","6.023","296","14","4.300","202"
"Gesamt","3.716.170","652","4.468","12.890","15","89.937","108"
