"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","494.695","575","4.457","4.104","37","10.008","90"
"Bayern","641.339","432","4.886","3.806","29","14.996","114"
"Berlin","178.931","183","4.876","1.052","29","3.502","95"
"Brandenburg","108.462","45","4.301","371","15","3.742","148"
"Bremen","27.195","36","3.992","212","31","475","70"
"Hamburg","76.465","79","4.139","372","20","1.566","85"
"Hessen","287.892","304","4.578","2.246","36","7.386","117"
"Mecklenburg-
Vorpommern","43.949","17","2.733","188","12","1.124","70"
"Niedersachsen","259.128","235","3.242","1.769","22","5.652","71"
"Nordrhein-Westfalen","808.695","693","4.506","6.160","34","16.833","94"
"Rheinland-Pfalz","153.433","139","3.748","1.187","29","3.745","91"
"Saarland","40.979","45","4.152","361","37","1.011","102"
"Sachsen","284.540","179","6.988","1.198","29","9.777","240"
"Sachsen-Anhalt","98.723","84","4.498","490","22","3.362","153"
"Schleswig-Holstein","63.283","28","2.179","458","16","1.602","55"
"Thüringen","127.924","91","5.996","708","33","4.245","199"
"Gesamt","3.695.633","3.165","4.444","24.682","30","89.026","107"
