"0","1","2"
"Age group","","week 12 - 20, 
week 21 - 39, 
week 40 - 49,  
week 50  
2020 
2020 
2020 
2020"
"0 to 14 years","SARI cases (total)","322 
869 
389 
36"
"","Proportion of COVID-19 (%)","0.3% 
0.2% 
3.0% 
3.0%"
"15 to 34 years","SARI cases (total)","178 
189 
237 
15"
"","Proportion of COVID-19 (%)","19% 
13% 
52% 
67%"
"35 to 59 years","SARI cases (total)","534 
511 
799 
94"
"","Proportion of COVID-19 (%)","31% 
13% 
63% 
80%"
"60 years and older","SARI cases (total)","1,690 
2,075 
2,123 
364"
"","Proportion of COVID-19 (%)","19% 
2.5% 
46% 
71%"
"Overall","SARI cases (total)","2,724 
3,644 
3,548 
509"
"","Proportion of COVID-19 (%)","19% 
4.0% 
46% 
68%"
