"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Vortag 
Einw. 
Einw. 
Einw.","","",""
"Baden-Württemberg","159.013 
3.072 
1.432","14.842 
134","2.919 
26,3"
"Bayern","222.360 
4.411 
1.694","22.443 
171","4.156 
31,7"
"Berlin","68.508 
1.244 
1.867","5.886 
160","641 
17,5"
"Brandenburg","21.123 
862 
838","2.563 
102","405 
16,1"
"Bremen","10.499 
74 
1.541","744 
109","132 
19,4"
"Hamburg","25.775 
306 
1.395","1.292 
70","404 
21,9"
"Hessen","92.825 
1.859 
1.476","9.204 
146","1.411 
22,4"
"Mecklenburg-
Vorpommern","6.446 
180 
401","756 
47","71 
4,4"
"Niedersachsen","74.734 
1.186 
935","5.317 
67","1.228 
15,4"
"Nordrhein-Westfalen","276.697 
4.671 
1.542","24.787 
138","3.793 
21,1"
"Rheinland-Pfalz","47.140 
1.047 
1.151","5.020 
123","608 
14,9"
"Saarland","13.212 
148 
1.339","952 
96","262 
26,5"
"Sachsen","63.535 
2.616 
1.560","11.237 
276","1.142 
28,0"
"Sachsen-Anhalt","13.826 
484 
630","2.251 
103","194 
8,8"
"Schleswig-Holstein","15.082 
255 
519","1.278 
44","263 
9,1"
"Thüringen","19.463 
1.034 
912","3.412 
160","405 
19,0"
"Gesamt","1.130.238 
23.449 
1.359","111.984 
135","18.034 
21,7"
