"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","313.518 
1.119 
2.824","5.288 
48","8.005 
72,1"
"Bayern","432.364 
1.978 
3.294","7.663 
58","12.281 
93,6"
"Berlin","127.930 
447 
3.486","2.013 
55","2.780 
75,8"
"Brandenburg","75.649 
312 
3.000","1.580 
63","2.957 
117,3"
"Bremen","17.705 
121 
2.599","517 
76","329 
48,3"
"Hamburg","50.919 
246 
2.756","1.187 
64","1.251 
67,7"
"Hessen","186.288 
854 
2.963","3.875 
62","5.775 
91,8"
"Mecklenburg-
Vorpommern","23.938 
226 
1.489","1.044 
65","719 
44,7"
"Niedersachsen","161.643 
1.241 
2.022","5.013 
63","4.230 
52,9"
"Nordrhein-
Westfalen","526.695 
2.673 
2.935","11.532 
64","12.875 
71,7"
"Rheinland-Pfalz","101.009 
376 
2.467","2.141 
52","3.062 
74,8"
"Saarland","28.525 
156 
2.890","624 
63","857 
86,8"
"Sachsen","192.399 
836 
4.725","2.903 
71","7.574 
186,0"
"Sachsen-Anhalt","59.480 
431 
2.710","1.870 
85","2.358 
107,4"
"Schleswig-Holstein","41.739 
271 
1.437","1.478 
51","1.262 
43,5"
"Thüringen","74.886 
582 
3.510","2.547 
119","2.810 
131,7"
"Gesamt","2.414.687 
11.869 
2.903","51.275 
62","69.125 
83,1"
