"0","1","2","3"
"Cumulative cases  
Last 7 days 
Cumulative deaths","","",""
"7-day 
Cases/ 
Cases in 
Number of 
Total number 
Number of 
incidence/ 
Number of 
Federal State 
100,000 
the last 
deaths/ 
of cases 
new cases 
100,000 
deaths 
pop. 
7 days 
100,000 pop. 
pop.","","",""
"Baden-Wuerttemberg","321,162 
1,258 
2,893","6,244 
56","8,216 
74.0"
"Bavaria","443,181 
1,593 
3,377","9,065 
69","12,583 
95.9"
"Berlin","131,131 
608 
3,574","2,418 
66","2,873 
78.3"
"Brandenburg","77,632 
297 
3,078","1,585 
63","3,067 
121.6"
"Bremen","18,334 
76 
2,691","510 
75","355 
52.1"
"Hamburg","52,722 
268 
2,854","1,273 
69","1,301 
70.4"
"Hesse","191,451 
776 
3,045","4,333 
69","5,916 
94.1"
"Mecklenburg- 
Western Pomerania","25,295 
188 
1,573","1,094 
68","766 
47.6"
"Lower Saxony","167,887 
937 
2,100","4,680 
59","4,410 
55.2"
"North Rhine-Westphalia","540,421 
2,210 
3,011","11,462 
64","13,310 
74.2"
"Rhineland-Palatinate","103,523 
393 
2,529","1,944 
47","3,151 
77.0"
"Saarland","29,340 
100 
2,973","603 
61","887 
89.9"
"Saxony","196,851 
730 
4,834","3,200 
79","7,940 
195.0"
"Saxony-Anhalt","61,930 
401 
2,822","1,900 
87","2,479 
112.9"
"Schleswig-Holstein","43,337 
220 
1,492","1,366 
47","1,320 
45.5"
"Thuringia","78,325 
525 
3,671","2,749 
129","2,930 
137.3"
"Total","2,482,522 
10,580 
2,985","54,426 
65","71,504 
86.0"
