"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","296.749 
1.354 
2.673","7.461 
67","7.275 
65,5"
"Bayern","408.021 
2.355 
3.109","10.906 
83","10.895 
83,0"
"Berlin","121.399 
649 
3.308","2.641 
72","2.376 
64,8"
"Brandenburg","69.805 
574 
2.768","2.678 
106","2.507 
99,4"
"Bremen","16.226 
71 
2.382","587 
86","283 
41,5"
"Hamburg","46.966 
412 
2.542","1.201 
65","1.097 
59,4"
"Hessen","174.489 
1.177 
2.775","5.427 
86","5.050 
80,3"
"Mecklenburg-
Vorpommern","20.591 
307 
1.280","1.381 
86","506 
31,5"
"Niedersachsen","144.638 
1.186 
1.809","4.923 
62","3.412 
42,7"
"Nordrhein-
Westfalen","492.669 
2.433 
2.745","13.850 
77","11.259 
62,7"
"Rheinland-Pfalz","94.302 
545 
2.303","2.880 
70","2.648 
64,7"
"Saarland","26.296 
311 
2.665","1.231 
125","760 
77,0"
"Sachsen","182.333 
995 
4.478","4.077 
100","6.560 
161,1"
"Sachsen-Anhalt","53.358 
599 
2.431","2.697 
123","1.860 
84,7"
"Schleswig-Holstein","37.044 
484 
1.276","2.014 
69","967 
33,3"
"Thüringen","67.115 
759 
3.146","3.165 
148","2.287 
107,2"
"Gesamt*","2.252.001 
14.211 
2.708","67.119 
81","59.742 
71,8"
