"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","49,421 
213 
446","1,616 
14.6","1,885 
17.0"
"Bavaria","67,996 
233 
520","2,025 
15.5","2,664 
20.4"
"Berlin","14,500 
173 
387","995 
26.5","228 
6.1"
"Brandenburg","4,258 
7 
170","110 
4.4","169 
6.7"
"Bremen","2,435 
50 
357","188 
27.5","59 
8.6"
"Hamburg","7,837 
87 
426","427 
23.2","270 
14.7"
"Hesse","18,945 
157 
302","1,042 
16.6","551 
8.8"
"Mecklenburg-Western 
Pomerania","1,180 
12 
73","45 
2.8","20 
1.2"
"Lower Saxony","20,162 
136 
253","872 
10.9","684 
8.6"
"North Rhine-Westphalia","69,822 
538 
389","3,468 
19.3","1,872 
10.4"
"Rhineland-Palatinate","10,698 
68 
262","447 
10.9","254 
6.2"
"Saarland*","3,297 
0 
333","37 
3.7","177 
17.9"
"Saxony","7,202 
51 
177","318 
7.8","234 
5.7"
"Saxony-Anhalt","2,619 
6 
119","123 
5.6","68 
3.1"
"Schleswig-Holstein","4,772 
48 
165","267 
9.2","162 
5.6"
"Thuringia","4,075 
19 
190","85 
4.0","191 
8.9"
"Total 
289,219 
1,798 
348 
12,065 
14.5 
9,488 
11.4","","",""
