"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 pop. 
of cases 
cases","7-day 
Cases in 
incidence 
the last 
per 
100,000 
7 days 
pop.","Number 
Number of 
of 
deaths/ 
deaths 
100,000 pop."
"Baden-Wuerttemberg","41,574 
326 
376","1,553 
14.0","1,862 
16.8"
"Bavaria","56,972 
333 
436","1,986 
15.2","2,638 
20.2"
"Berlin","11,125 
114 
297","421 
11.2","226 
6.0"
"Brandenburg","3,867 
10 
154","70 
2.8","169 
6.7"
"Bremen","1,980 
22 
290","88 
12.9","56 
8.2"
"Hamburg","6,193 
26 
336","131 
7.1","266 
14.4"
"Hesse","15,351 
119 
245","838 
13.4","530 
8.5"
"Mecklenburg-Western  
Pomerania","1,004 
3 
62","14 
0.9","20 
1.2"
"Lower Saxony","16,628 
122 
208","502 
6.3","660 
8.3"
"North Rhine-
Westphalia","58,452 
265 
326","1,708 
9.5","1,809 
10.1"
"Rhineland-Palatinate","8,928 
54 
219","314 
7.7","243 
5.9"
"Saarland","3,126 
14 
316","49 
4.9","174 
17.6"
"Saxony","5,934 
29 
146","115 
2.8","225 
5.5"
"Saxony-Anhalt","2,226 
8 
101","48 
2.2","65 
2.9"
"Schleswig-Holstein","4,015 
15 
139","123 
4.2","160 
5.5"
"Thuringia","3,611 
19 
168","63 
2.9","186 
8.7"
"Total 
240,986 
1,479 
290 
8,023 
9.7 
9,289 
11.2","","",""
