"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","500.093","112","4.505","900","8","10.195","92"
"Bayern","647.107","128","4.930","994","8","15.233","116"
"Berlin","180.071","55","4.907","259","7","3.552","97"
"Brandenburg","108.649","6","4.308","67","3","3.792","150"
"Bremen","27.423","9","4.026","52","8","483","71"
"Hamburg","77.235","24","4.181","187","10","1.589","86"
"Hessen","290.538","69","4.620","483","8","7.501","119"
"Mecklenburg-
Vorpommern","44.121","0","2.744","29","2","1.151","72"
"Niedersachsen","260.843","43","3.263","293","4","5.754","72"
"Nordrhein-Westfalen","815.516","190","4.544","1.140","6","17.105","95"
"Rheinland-Pfalz","155.034","55","3.787","254","6","3.874","95"
"Saarland","41.435","19","4.199","96","10","1.019","103"
"Sachsen","285.755","26","7.018","146","4","10.063","247"
"Sachsen-Anhalt","99.208","8","4.520","43","2","3.423","156"
"Schleswig-Holstein","63.824","12","2.198","104","4","1.620","56"
"Thüringen","128.728","18","6.034","106","5","4.324","203"
"Gesamt","3.725.580","774","4.480","5.153","6","90.678","109"
