"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Differenz 
Fälle/ 
Fälle/ 
Fälle/ 
Bundesland 
Fälle 
Fälle 
Fälle 
Vortag 
100.000 EW 
100.000 EW 
100.000 EW","","","","","","",""
"Baden-Württemberg","399.982","3.470","3.603","18.316","165","9.022","81"
"Bayern","546.680","4.769","4.165","23.675","180","13.684","104"
"Berlin","157.017","1.022","4.279","5.076","138","3.142","86"
"Brandenburg","95.604","623","3.791","3.667","145","3.436","136"
"Bremen","23.116","193","3.393","1.118","164","433","64"
"Hamburg","67.121","458","3.634","2.344","127","1.427","77"
"Hessen","240.509","1.923","3.825","10.350","165","6.585","105"
"Mecklenburg-
Vorpommern","35.419","325","2.202","2.387","148","921","57"
"Niedersachsen","217.562","1.858","2.722","9.295","116","5.112","64"
"Nordrhein-Westfalen","669.472","5.717","3.730","29.205","163","14.813","83"
"Rheinland-Pfalz","127.699","1.093","3.119","5.391","132","3.434","84"
"Saarland","34.297","299","3.475","1.198","121","942","95"
"Sachsen","242.330","1.887","5.951","9.346","230","8.697","214"
"Sachsen-Anhalt","81.757","789","3.725","4.133","188","2.900","132"
"Schleswig-Holstein","54.508","366","1.877","2.218","76","1.473","51"
"Thüringen","106.200","1.039","4.978","5.461","256","3.607","169"
"Gesamt","3.099.273","25.831","3.727","133.180","160","79.628","96"
