"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","295.395 
1.140 
2.661","7.843 
71","7.227 
65,1"
"Bayern","405.666 
1.451 
3.091","10.952 
83","10.767 
82,0"
"Berlin","120.750 
353 
3.291","2.655 
72","2.328 
63,4"
"Brandenburg","69.231 
537 
2.745","2.830 
112","2.449 
97,1"
"Bremen","16.155 
122 
2.372","606 
89","278 
40,8"
"Hamburg*","46.554 
0 
2.520","1.103 
60","1.074 
58,1"
"Hessen","173.312 
945 
2.756","5.523 
88","4.989 
79,3"
"Mecklenburg-
Vorpommern","20.284 
262 
1.261","1.300 
81","480 
29,8"
"Niedersachsen","143.452 
292 
1.795","5.193 
65","3.362 
42,1"
"Nordrhein-
Westfalen","490.236 
2.298 
2.732","14.553 
81","11.149 
62,1"
"Rheinland-Pfalz","93.757 
385 
2.290","3.025 
74","2.618 
63,9"
"Saarland","25.985 
156 
2.633","1.118 
113","752 
76,2"
"Sachsen","181.338 
715 
4.453","4.293 
105","6.469 
158,9"
"Sachsen-Anhalt","52.759 
297 
2.404","2.789 
127","1.809 
82,4"
"Schleswig-Holstein","36.560 
217 
1.259","1.995 
69","944 
32,5"
"Thüringen","66.356 
535 
3.110","3.177 
149","2.261 
106,0"
"Gesamt*","2.237.790 
9.705 
2.691","68.955 
83","58.956 
70,9"
