"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases* 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","87,685 
2,243 
790 
13,079 
117.8 
2,056 
18.5","",""
"Bavaria","115,869 
3,568 
883 
18,602 
141.7 
2,843 
21.7","",""
"Berlin","34,823 
1,513 
949 
6,104 
166.3 
265 
7.2","",""
"Brandenburg","8,761 
70 
347 
1,422 
56.4 
203 
8.0","",""
"Bremen","6,108 
207 
897 
1,428 
209.6 
78 
11.5","",""
"Hamburg","14,744 
456 
798 
1,851 
100.2 
294 
15.9","",""
"Hesse","45,819 
1,221 
729 
9,781 
155.5 
699 
11.1","",""
"Mecklenburg- 
Western Pomerania","3,076 
159 
191 
696 
43.3 
23 
1.4","",""
"Lower Saxony","39,964 
1,102 
500 
7,128 
89.2 
782 
9.8","",""
"North Rhine-Westphalia","148,699 
4,562 
829 
30,030 
167.3 
2,236 
12.5","",""
"Rhineland-Palatinate","22,466 
679 
549 
4,367 
106.7 
301 
7.4","",""
"Saarland","7,313 
85 
741 
1,428 
144.7 
194 
19.7","",""
"Saxony","20,140 
651 
495 
4,567 
112.2 
350 
8.6","",""
"Saxony-Anhalt","5,582 
159 
254 
1,111 
50.6 
86 
3.9","",""
"Schleswig-Holstein","8,833 
233 
304 
1,581 
54.4 
190 
6.5","",""
"Thuringia","7,711 
306 
361 
1,431 
67.1 
212 
9.9","",""
"Total","577,593 
17,214 
695 
104,606 
125.8 
10,812 
13.0","",""
