"0","1","2","3"
"Federal State","Total 
Number 
Cases/ 
number 
of new 
100,000 
of cases 
cases 
pop.","7-day 
Cases in 
incidence 
the last 
per 
7 days 
100,000 
pop.","Number of 
Number 
deaths/ 
of 
100,000 
deaths 
pop."
"Baden-Wuerttemberg","55,639 
700 
501","3,595 
32.4","17.2 
1,909"
"Bavaria","74,459 
671 
567","3,776 
28.8","20.5 
2,693"
"Berlin","19,033 
706 
519","2,604 
71.0","6.5 
237"
"Brandenburg","4,997 
203 
198","436 
17.3","6.8 
172"
"Bremen","3,166 
53 
465","462 
67.8","9.1 
62"
"Hamburg","9,153 
113 
495","533 
28.9","15.0 
278"
"Hesse","22,819 
509 
363","2,323 
36.9","9.0 
567"
"Mecklenburg-Western 
Pomerania","1,472 
56 
92","154 
9.6","1.2 
20"
"Lower Saxony","23,560 
295 
295","1,768 
22.1","8.8 
702"
"North Rhine-Westphalia","82,356 
1,164 
459","7,446 
41.5","10.7 
1,923"
"Rhineland-Palatinate","12,410 
175 
303","1,005 
24.5","6.4 
260"
"Saarland","3,867 
147 
392","367 
37.2","17.9 
177"
"Saxony","8,742 
183 
215","883 
21.7","6.1 
250"
"Saxony-Anhalt","2,966 
24 
135","151 
6.9","3.1 
68"
"Schleswig-Holstein","5,391 
66 
186","354 
12.2","5.6 
163"
"Thuringia","4,555 
67 
214","306 
14.3","9.2 
196"
"11.6 
Total 
334,585 
5,132 
402 
26,163 
31.5 
9,677","","",""
