"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","478.496","615","4.311","11.206","101","9.703","87,4"
"Bayern","626.403","1.028","4.773","10.845","83","14.596","111,2"
"Berlin","175.283","91","4.777","2.518","69","3.399","92,6"
"Brandenburg","106.565","89","4.226","1.507","60","3.673","145,6"
"Bremen","26.573","43","3.901","433","64","468","68,7"
"Hamburg","74.991","102","4.060","836","45","1.533","83,0"
"Hessen","279.342","306","4.442","5.820","93","7.135","113,5"
"Mecklenburg-
Vorpommern","42.961","58","2.671","936","58","1.079","67,1"
"Niedersachsen","252.337","242","3.157","4.727","59","5.474","68,5"
"Nordrhein-Westfalen","786.304","1.676","4.381","16.127","90","16.252","90,6"
"Rheinland-Pfalz","149.106","338","3.642","3.200","78","3.646","89,1"
"Saarland","39.642","32","4.017","870","88","978","99,1"
"Sachsen","278.217","397","6.832","4.574","112","9.380","230,4"
"Sachsen-Anhalt","96.537","200","4.398","1.914","87","3.221","146,8"
"Schleswig-Holstein","61.674","66","2.124","1.018","35","1.565","53,9"
"Thüringen","124.415","129","5.832","2.613","122","4.058","190,2"
"Gesamt","3.598.846","5.412","4.327","69.144","83","86.160","103,6"
