"0","1","2","3","4","5","6","7"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","","","","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Bundesland 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Vortag 
EW 
EW 
EW","","","","","","",""
"Baden-Württemberg","500.378","31","4.508","798","7","10.226","92"
"Bayern","647.293","66","4.932","903","7","15.243","116"
"Berlin*","180.102","0","4.908","237","6","3.556","97"
"Brandenburg","108.675","3","4.309","65","3","3.794","150"
"Bremen","27.426","1","4.026","47","7","484","71"
"Hamburg","77.299","11","4.185","184","10","1.590","86"
"Hessen","290.712","24","4.623","473","8","7.505","119"
"Mecklenburg-
Vorpommern","44.137","2","2.745","34","2","1.152","72"
"Niedersachsen","260.916","11","3.264","249","3","5.757","72"
"Nordrhein-Westfalen","815.824","39","4.546","1.034","6","17.113","95"
"Rheinland-Pfalz","155.112","19","3.789","225","5","3.882","95"
"Saarland","41.453","2","4.200","71","7","1.019","103"
"Sachsen","285.779","3","7.018","137","3","10.068","247"
"Sachsen-Anhalt","99.223","1","4.521","41","2","3.425","156"
"Schleswig-Holstein","63.858","4","2.199","95","3","1.620","56"
"Thüringen","128.742","2","6.035","74","3","4.328","203"
"Gesamt","3.726.929","219","4.481","4.667","6","90.762","109"
