"0","1","2","3"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ","","",""
"Fälle/ 
Fälle/ 
Fälle/ 
Differenz 
Fälle 
100.000 
Fälle 
100.000 
Fälle 
100.000 
Bundesland 
Vortag 
EW 
EW 
EW","","",""
"Baden-Württemberg","340.939 
1.928 
3.071","10.232 
92","8.518 
76,7"
"Bayern","470.220 
2.330 
3.583","13.594 
104","12.966 
98,8"
"Berlin","137.918 
893 
3.759","3.417 
93","2.984 
81,3"
"Brandenburg","82.512 
499 
3.272","2.714 
108","3.231 
128,1"
"Bremen","19.526 
107 
2.866","658 
97","391 
57,4"
"Hamburg","56.656 
400 
3.067","1.841 
100","1.343 
72,7"
"Hessen","204.713 
1.449 
3.256","7.095 
113","6.142 
97,7"
"Mecklenburg-
Vorpommern","27.708 
231 
1.723","1.050 
65","825 
51,3"
"Niedersachsen","182.532 
1.497 
2.283","6.995 
88","4.705 
58,9"
"Nordrhein-
Westfalen","574.563 
3.143 
3.201","17.875 
100","13.872 
77,3"
"Rheinland-Pfalz","109.302 
621 
2.670","3.028 
74","3.254 
79,5"
"Saarland","30.538 
25 
3.094","582 
59","918 
93,0"
"Sachsen","208.150 
1.223 
5.112","5.450 
134","8.198 
201,3"
"Sachsen-Anhalt","67.255 
543 
3.064","2.601 
119","2.627 
119,7"
"Schleswig-Holstein","46.663 
277 
1.607","1.696 
58","1.403 
48,3"
"Thüringen","86.588 
867 
4.059","4.293 
201","3.188 
149,4"
"Gesamt","2.645.783 
16.033 
3.181","83.121 
100","74.565 
89,7"
