"0","1"
"Fälle kumulativ 
Letzte 7 Tage 
Todesfälle kumulativ",""
"Differenz 
Fälle/100.000 
Fälle/100.000 
Fälle/100.000 
Fälle 
Fälle 
Fälle 
Bundesland 
Einw. 
Vortag 
Einw. 
Einw.",""
"Baden-
Württemberg","2906 
1023 
14.968 
134,8 
2.242 
20,2 
113.539"
"Bayern","153.156 
4274 
1167 
23.465 
178,8 
3.108 
23,7"
"Berlin","46.434 
1328 
1265 
7.159 
195,1 
348 
9,5"
"Brandenburg","12.205 
353 
484 
1.583 
62,8 
232 
9,2"
"Bremen","7.965 
162 
1169 
1.065 
156,3 
94 
13,8"
"Hamburg","19.450 
536 
1053 
2.173 
117,6 
311 
16,8"
"Hessen","62.462 
1407 
993 
10.526 
167,4 
854 
13,6"
"Mecklenburg-
Vorpommern","4.289 
124 
267 
683 
42,5 
37 
2,3"
"Niedersachsen","53.883 
2113 
674 
8.235 
103,0 
897 
11,2"
"Nordrhein-
Westfalen","196.363 
5352 
1094 
29.796 
166,0 
2.616 
14,6"
"Rheinland-Pfalz","31.397 
1147 
767 
5.633 
137,6 
356 
8,7"
"Saarland","9.713 
261 
984 
1.421 
144,0 
211 
21,4"
"Sachsen","33.007 
1469 
811 
6.104 
149,9 
502 
12,3"
"Sachsen-Anhalt","7.941 
300 
362 
1.318 
60,1 
105 
4,8"
"Schleswig-Holstein","11.203 
279 
386 
1.593 
54,9 
218 
7,5"
"Thüringen","10.549 
450 
494 
1.827 
85,6 
247 
11,6"
"Gesamt","773.556 
22.461 
930 
117.549 
141,3 
12.378 
14,9"
