0,1,2,3,4
"Impfzentren, Mobile Teams,",Arztpraxen,,,
Bundesland,"Krankenhäuser,",(Vertragsärzte und,Betriebsärzte,Apotheken
Gesundheitsämter,Privatärzte),,,
Baden - Württemberg,10.466.764,11.254.204,560.721,2.619
Bayern,13.614.308,12.169.469,621.333,3.604
Berlin,3.715.879,3.861.168,135.351,3.156
Brandenburg,2.048.884,2.618.755,31.441,449
Bremen,1.020.367,546.378,44.791,62
Hamburg,1.821.828,2.071.055,182.090,1.288
Hessen,6.234.403,6.223.161,360.934,1.861
Mecklenburg-,1.542.220,1.677.581,21.707,504
Vorpommern,,,,
Niedersachsen,7.764.992,8.991.229,364.589,3.638
Nordrhein-Westfalen,16.898.749,20.830.295,989.174,15.787
Rheinland-Pfalz,3.919.688,4.346.785,232.663,1.618
Saarland,1.081.086,1.089.849,47.190,1.146
Sachsen,3.496.246,3.513.695,98.519,2.199
Sachsen-Anhalt,2.049.814,2.139.253,47.347,795
Schleswig-Holstein,3.054.096,3.471.999,120.603,924
Thüringen,2.320.399,1.624.890,31.517,118
Gesamt,81.049.723,86.429.766,3.889.970,39.768
