0,1,2,3,4
Anzahl,,,,
Kalenderwoche,Positiv,Positivenanteil,,
Anzahl Testungen,übermittelnder,,,
(KW),getestet,(%),,
Labore,,,,
Bis einschließlich,,,,
65.328.411,4.253.858,,,
KW26/2021,,,,
27/2021,612.225,6.872,"1,12",212
28/2021,607.770,9.864,"1,62",208
29/2021,594.342,13.804,"2,32",208
30/2021,583.319,17.108,"2,93",207
31/2021,589.841,22.500,"3,81",209
32/2021,567.948,34.255,"6,03",204
33/2021,690.888,53.966,"7,81",205
34/2021,859.147,70.384,"8,19",207
35/2021,945.676,81.825,"8,65",210
36/2021,991.366,79.202,"7,99",200
Summe,72.370.933,4.643.638,,
