0,1,2,3,4,5,6,7,8,9
"Impfzentren, Mobile Teams, Krankenhäu- Arztpraxen (Vertragsärzte und Privatärzte)",Betriebsärzte,,,,,,,,
ser,,,,,,,,,
Erst-,Zweit-,Auf-frischungs- Erst-impfun-,Zweit-,Auf-,Erst-imp-,Zweit-,Auf-,,
Bundesland,impfungen,impfungen,impfungen,gen,impfungen,frischungs-,fungen,impfungen,fri-
impfungen,schungs-,,,,,,,,
impfun-,,,,,,,,,
gen,,,,,,,,,
Baden-,,,,,,,,,
4.415.952,3.979.293,420.942,3.119.991,2.853.368,1.546.033,188.471,177.815,24.829,
Württemberg,,,,,,,,,
Bayern,5.099.579,4.656.555,1.094.654,3.843.396,3.512.794,1.485.821,228.171,211.942,16.786
Berlin,1.475.063,1.362.279,272.923,1.153.136,1.033.743,501.175,41.721,44.032,3.966
Brandenburg,842.043,767.899,68.876,806.538,699.356,335.868,10.459,9.681,1.880
Bremen,386.353,337.571,61.482,169.406,152.169,62.229,16.302,13.405,1.336
Hamburg,797.354,715.311,62.194,570.226,510.153,224.190,68.744,63.685,4.898
Hessen,2.591.982,2.258.873,220.709,1.821.919,1.674.736,770.051,115.528,110.114,12.680
Mecklenburg-,,,,,,,,,
604.702,535.414,102.205,523.528,481.262,175.020,5.926,5.478,1.991,
Vorpommern,,,,,,,,,
Niedersachsen,3.202.479,2.755.045,325.395,2.623.714,2.391.079,1.115.580,113.233,103.740,20.897
Nordrhein-,,,,,,,,,
7.149.998,6.401.166,552.579,6.139.576,5.477.427,3.052.483,350.095,314.118,51.511,
Westfalen,,,,,,,,,
Rheinland-Pfalz,1.695.696,1.468.329,132.679,1.242.687,1.122.508,607.899,66.042,61.196,12.349
Saarland,445.390,404.567,53.063,310.953,276.176,159.451,15.283,14.112,2.262
Sachsen,1.465.795,1.332.601,121.182,997.185,923.048,473.203,24.619,23.034,7.989
Sachsen-,,,,,,,,,
832.409,735.844,105.789,639.400,579.311,267.774,12.331,11.164,5.641,
Anhalt,,,,,,,,,
Schleswig-,,,,,,,,,
1.188.004,1.081.965,135.386,993.333,898.128,464.623,36.506,36.370,6.334,
Holstein,,,,,,,,,
Thüringen,883.364,782.908,199.409,495.993,459.618,174.902,11.554,10.035,1.353
Gesamt,33.076.163,29.575.620,3.929.467,25.450.981 23.044.876,11.416.302,1.304.985,1.209.921,176.702,
