0,1,2,3,4,5,6
Meldewoche 41,Meldewoche 42,Änderung im Vergleich,,,,
Bundesland,7-Tage-,7-Tage-,,,,
Anzahl,Anzahl,Anzahl,Anteil,,,
Inzidenz,Inzidenz,,,,,
Baden-Württemberg,11.194,101,16.122,145,4.928,+44%
Bayern,15.902,121,25.647,195,9.745,+61%
Berlin,3.426,94,4.494,123,1.068,+31%
Brandenburg,1.487,59,2.279,90,792,+53%
Bremen,512,75,451,66,-61,-12%
Hamburg,1.267,68,2.054,111,787,+62%
Hessen,3.676,58,5.167,82,1.491,+41%
Mecklenburg-Vorpommern,916,57,1.018,63,102,+11%
Niedersachsen,4.025,50,5.135,64,1.110,+28%
Nordrhein-Westfalen,9.067,51,13.135,73,4.068,+45%
Rheinland-Pfalz,2.261,55,3.153,77,892,+39%
Saarland,611,62,522,53,-89,-15%
Sachsen,5.314,131,8.330,205,3.016,+57%
Sachsen-Anhalt,1.597,73,2.260,104,663,+42%
Schleswig-Holstein,852,29,1.725,59,873,+102%
Thüringen,3.030,143,4.854,229,1.824,+60%
Gesamt,65.137,78,96.346,116,31.209,+48%
