0,1,2,3,4
Altersgruppe,,,,
5 bis 11,12 bis 17,18 bis 59,60 Jahre und,
Jahre,Jahre,Jahre,älter,
Symptomatische COVID-19-Fälle¹,29.515,16.422,94.304,18.122
davon mit Auffrischimpfung²,9,377,32.166,8.075
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","2,3%","34,1%","44,6%"
Hospitalisierte symptomatische COVID-19-Fälle¹,112,81,1.742,2.406
davon mit Auffrischimpfung²,0,1,201,363
Anteil Impfdurchbrüche (Auffrischimpfung),"0,0%","1,2%","11,5%","15,1%"
Auf Intensivstation betreute symptomatische,,,,
0,3,208,446,
COVID-19-Fälle¹,,,,
davon mit Auffrischimpfung²,0,0,9,30
Anteil Impfdurchbrüche (Auffrischimpfung),-,"0,0%","4,3%","6,7%"
Verstorbene symptomatische COVID-19-Fälle¹ ³,",",,,
0,1,39,567,
davon mit Auffrischimpfung²,0,0,3,79
Anteil Impfdurchbrüche (Auffrischimpfung),-,"0,0%","7,7%","13,9%"
